,election_year,pc_name,pc_no,electors,male_electors,female_electors,votes_polled,male_voters,female_voters,votes_polled_percentage
146,1977,Cuddalore,11,644882,324304,320578,429893,223502,206391,66.7
147,1977,Cuddapah,23,698750,353319,345431,487025,258181,228844,69.7
148,1977,Cuttack,6,623921,333755,290166,330152,197601,132551,52.9
149,1977,Dadra & Nagar Haveli,1,37532,18389,19143,25706,13321,12385,68.5
150,1977,Dahanu,11,629624,332546,297078,311918,176282,135636,49.5
151,1977,Dahod,17,508980,255715,253265,184171,112885,71286,36.2
152,1977,Damoh,7,624578,314895,309683,365679,224751,140928,58.6
153,1977,Darbhanga,15,635811,323064,312747,422293,259255,163038,66.4
154,1977,Darjeeling,4,624898,349342,275556,272135,174823,97312,43.6
155,1977,Dausa,7,622623,324062,298561,338872,196683,142189,54.4
156,1977,Davangere,6,613519,318898,294621,425341,234197,191144,69.3
157,1977,Delhi Sadar,6,309550,178641,130909,219842,124049,95793,71.0
158,1977,Deogarh,18,611756,318176,293580,258428,167337,91091,42.2
159,1977,Deoria,41,662864,356025,306839,344697,221014,123683,52.0
160,1977,Dhanbad,47,675439,397300,278139,306590,226561,80029,45.4
161,1977,Dhandhuka,9,549416,275393,274023,283228,155739,127489,51.6
162,1977,Dhar,36,542947,269419,273528,322804,183043,139761,59.5
163,1977,Dharmapuri,13,631245,317667,313578,408446,215266,193180,64.7
164,1977,Dharwad North,24,535385,273226,262159,368014,196591,171423,68.7
165,1977,Dharwad South,23,575791,305271,270520,407647,216017,191630,70.8
166,1977,Dhenkanal,19,590280,306349,283931,261634,169687,91947,44.3
167,1977,Dhubri,4,503545,262445,241100,340929,195491,145438,67.7
168,1977,Dhulia,14,552925,274507,278418,325324,174615,150709,58.8
169,1977,Diamond Harbour,17,608458,370493,237965,389100,237400,151700,64.0
170,1977,Dibrugarh,13,502862,277249,225613,248898,151958,96940,49.5
171,1977,Dindigul,23,721154,355677,365477,483612,242848,240764,67.1
172,1977,Domariaganj,35,657832,359004,298828,401100,237650,163450,61.0
173,1977,Dum Dum,20,698781,390646,308135,431362,259083,172279,61.7
174,1977,Dumka,27,579061,298243,280818,239826,158369,81457,41.4
175,1977,Durg,21,602735,295957,306778,356029,193551,162478,59.1
176,1977,Durgapur,37,677500,355897,321603,359280,211448,147832,53.0
177,1977,East Delhi,4,511716,288593,223123,358854,202833,156021,70.1
178,1977,Eluru,11,669778,330854,338924,467438,237549,229889,69.8
179,1977,Erandol,16,597821,293049,304772,365421,190792,174629,61.1
180,1977,Ernakulam,11,582804,294929,287875,467048,233766,233282,80.1
181,1977,Etah,71,564767,314447,250320,378143,245955,132188,67.0
182,1977,Etawah,66,589325,324324,265001,370214,229578,140636,62.8
183,1977,Faizabad,28,614376,325778,288598,316102,192020,124082,51.5
184,1977,Faridabad,6,601224,321819,279405,425700,238625,187075,70.8
185,1977,Faridkot,12,646094,335493,310601,487098,253117,233981,75.4
186,1977,Farrukhabad,68,637847,376699,261148,373816,231837,141979,58.6
187,1977,Fatehpur,58,614485,327641,286844,295191,177177,118014,48.0
188,1977,Ferozepur,13,631895,345051,286844,206656,124066,82590,32.7
189,1977,Firozabad,72,611215,332209,279006,321138,196853,124285,52.5
190,1977,Gandhinagar,11,619720,328663,291057,394699,217843,176856,63.7
191,1977,Ganganagar,1,604428,326517,277911,370934,200379,170555,61.4
192,1977,Garhwal,2,563082,264848,298234,267720,151525,116195,47.6
193,1977,Gauhati,7,553272,297236,256036,291598,185486,106112,52.7
194,1977,Gaya,43,642305,335073,307232,445024,239104,205920,69.3
195,1977,Ghatampur,63,607421,346231,261190,364722,237809,126913,60.0
196,1977,Ghazipur,50,639586,333360,306226,372070,212841,159229,58.2
197,1977,Ghosi,44,626672,336083,290589,354670,201382,153288,56.6
198,1977,Giridih,46,581187,319097,262090,290760,168641,122119,50.0
199,1977,Gobichettipalayam,19,648924,329840,319084,449419,242613,206806,69.3
200,1977,Godda,28,630768,326494,304274,365300,242158,123142,57.9
201,1977,Godhra,18,517416,263770,253646,295163,169390,125773,57.1
202,1977,Gonda,33,601635,313247,288388,272227,185100,87127,45.3
203,1977,Gopalganj,4,674703,362417,312286,425830,268631,157199,63.1
204,1977,Gorakhpur,38,570532,311619,258913,327828,197637,130191,57.5
205,1977,Gulbarga,2,629721,315005,314716,322935,174365,148570,51.3
206,1977,Guna,4,634123,327874,306249,336579,205036,131543,53.1
207,1977,Guntur,15,790342,400149,390193,518885,267167,251718,65.7
208,1977,Gurdaspur,1,563497,293357,270140,412085,209777,202308,73.1
209,1977,Gwalior,3,587078,306359,280719,338230,200647,137583,57.6
210,1977,Hajipur,8,686969,360453,326516,529440,295327,234113,77.1
